,products_and_services,products_id,language (ISO-code),typo_corrected
23,vendita frutta e verdura al ingrosso,648d2e75-c1af-43a8-b45c-3029d45a19bd,it,vendita frutta e verdura al ingrosso
24,commercio internazionle di sughero,f2cf865d-2e7b-499f-8cc1-0c86761e2d2d,it,commercio internazionle di sughero
25,to cultivate,5238c46e-a7cc-4373-a55d-55d6f36572aa,it,to cultivate
26,to produce,3a4d3fc0-ee4e-469b-868d-a3f9b0818557,cs,to produce
27,natural entrails,7d39b81e-a86a-4a0d-926c-ba55446999b1,ca,natural entrails
28,entrails,a1ae5740-a0bd-47a2-bd84-f070dab8db44,fr,entrails
29,deli meats,7364f055-1db6-4e24-9b92-0902ccc72f14,ca,deli meats
30,diuretics,778b2de9-337c-46f6-af76-1d4ce1003ec4,ca,diuretics
31,beta-blocking drugs,0e80e07c-b114-4f76-83fd-35555b5cf906,sv,beta-blocking drugs
32,antihypertensives,2534fea7-91a5-4379-96d6-bb0c9e0c66ba,no,antihypertensives
33,bava lumaca microfiltrata,705d153d-01d8-44a9-8f85-68360e91ed50,ca,bava lumaca microfiltrata
34,allevamento lumache,b5702012-17dc-4492-a3e7-2a80762c0197,it,allevamento lumache
35,cosmos,36fe56b2-8744-4096-8f2e-b4b6d174a0a9,pt,cosmos
36,materia prima cosmetica,1efdbfea-681b-4028-b12f-c4db9491a7b3,it,materia prima cosmetica
37,dermocosmetics,e884a1f1-027c-4009-8428-92d5e76bde60,ca,dermocosmetics
38,paraffins,6458bc70-0a3c-4e60-8aa4-59c29f9cde8a,it,paraffins
39,waxing,d4b1a9e3-1f5d-41d6-bab2-28b73f618feb,so,waxing
40,"aperitifs, alcoholic",83ed867b-b34c-42c3-9de0-7d453285d9f1,it,"aperitifs, alcoholic"
41,gin,f971064e-bd24-4c4b-ab88-b47cfb61f643,tl,gin
42,eau-de-vie,c90ef45d-efee-4085-b906-b1376b2d7ab0,fr,eau-de-vie
43,limoncello,2c4b185b-1b2b-47d8-936f-68007d3053dd,it,limoncello
44,nightwear,1d58e172-ad49-4562-90e0-dc6702afadc0,af,nightwear
45,beachwear,265794ab-9508-4614-9144-f11f02679a9f,cy,beachwear
46,sleepwear,b0f09e34-0d97-40ea-833b-6c96de2d2029,af,sleepwear
47,flavoured marzipan,0651812f-b237-42e0-8caa-407c81e66341,sl,flavoured marzipan
48,beekeeping products,b20548de-8453-4a1b-9a08-7f070dbc2be1,nl,beekeeping products
49,infrared lamps,432385bd-8a4a-4b42-919b-2bd870366699,sv,infrared lamps
50,abbeveratoi antispreco,0026faa3-84b6-4f07-a872-3433a9f673a4,it,abbeveratoi antispreco
51,feed ingredients,86c83b1a-a039-4b32-8e1b-4d62f66e0de2,af,feed ingredients
52,predipping post dipping mixer bixcomponents,9a2c2812-20a1-4a19-bc36-e65e391f7bec,it,predipping post dipping mixer bixcomponents
53,lievito di birra per animali,d309795b-76ca-4d1c-a659-991d299d9c8b,it,lievito di birra per animali
54,box equipment,54def8bd-aad9-4103-8ec5-9bc6e82b23be,ca,box equipment
55,industrial mud suction,decfe250-3ba5-418d-97e0-8338897c6565,ro,industrial mud suction
56,disinfecting equipment,4bd4b6ac-833b-4fc8-9038-196fe8381ca2,es,disinfecting equipment
57,safety locker,e3ab69d2-4f44-453d-afb8-5620896dc8ac,sv,safety locker
58,environmental monitoring,65130d44-11ad-4435-9af9-1127575751a2,it,environmental monitoring
59,consoles,b1685a29-904c-4518-a90b-68648bef498e,fr,consoles
60,rubber cog belts,cee5a98e-8315-4808-a802-0007fa6a5e28,da,rubber cog belts
61,pignone,2936e510-a258-4253-b483-5423b2fb28db,it,pignone
62,helicoidal gears,5910959b-5552-42e4-819a-6c14724d9681,nl,helicoidal gears
63,cylinder gears,1ec08e3c-7264-43e1-ae05-17a5b35b2866,da,cylinder gears
64,cog wheels,4cc79a1f-87b6-432c-a442-1cebebf332d1,nl,cog wheels
65,parallel import,90bb0877-ac53-47fa-a859-d4143cdcb67f,it,parallel import
66,pharmaceutical export,f0a7b2ab-5c5e-48cd-84d2-59baf29663b8,pt,pharmaceutical export
67,deli meat lines,f2bd2b74-ee14-436c-b711-faa0b561a25f,da,deli meat lines
68,stabilizers,d6826ca3-4c7b-491d-ac9e-3f34c676634a,tr,stabilizers
69,gelling agents,4296d7eb-0f5a-45b4-9320-3955884cbe10,nl,gelling agents
70,hydrocolloids,e1e45f71-3633-4580-9dbb-2d15e373b647,cy,hydrocolloids
71,food systems,fcc1c29f-0c85-4bc1-94ae-df09475e5348,da,food systems
72,carob powder,a650ceb6-4a2f-4205-8fc7-008ba1e0c429,pl,carob powder
73,carob gum,2e4555ce-428c-4276-90b0-ca854fa52848,so,carob gum
74,grain storage systems,5d187153-cd8b-45bb-a878-c9cd2ee12c36,da,grain storage systems
75,pasta for lasagna,ddeeffc0-2b1f-4c0a-a039-4b487a1b9de0,es,pasta for lasagna
76,auricles,d4e631bd-06a6-4630-8019-e3f04be3e9ee,fr,auricles
77,peeled tomatoes,282dd460-a6c1-4bf9-9e26-36c33d84440f,af,peeled tomatoes
78,rice starch,e228c2d9-8d64-4f83-9642-2f09e38e4a86,it,rice starch
79,naturally leavened pizza,99ec42f8-8676-43cf-adbe-21d400c9b1c5,it,naturally leavened pizza
80,deep-freezing,8e490602-7cc8-4a13-b2dd-b3e2cedd8221,nl,deep-freezing
81,baked lasagne,c14f02af-d755-4e16-b51a-a9ac4aa2925b,id,baked lasagne
82,international trade consultants,41578841-882b-4407-b239-1972d1991d50,it,international trade consultants
83,hammer mills,c143182c-a3f4-4f25-ab69-21e6598d6662,no,hammer mills
84,organic pesto,05f84999-bd7f-4f54-a2ab-ae1dc9647170,ro,organic pesto
85,bulk powder transport,455142aa-6f15-4fb5-8290-31809a948b43,no,bulk powder transport
86,malt beverage,311cf2b0-1cd6-4c3c-9394-d969707463c7,nl,malt beverage
87,gingerbread,0921c7c2-170b-42c9-a76c-32325a627b51,da,gingerbread
88,cantuccini biscuits,99106518-2e20-42e2-b499-3157b4f98ac5,ca,cantuccini biscuits
89,ricciarellis (calisson biscuits),cfee039d-b8bc-48d9-842a-efc5f9810ff5,it,ricciarellis (calisson biscuits)
90,almond cantuccini biscuits,07f52834-8485-4fd0-b38b-067d81e1ca6d,it,almond cantuccini biscuits
91,pan de' santi,1a8df74d-92a3-4879-96a5-fed8983c04f9,fr,pan de' santi
92,copate,023cb43a-1296-4c74-8329-9c5e46edd379,ro,copate
93,creme spalmabili,826e94ff-88e9-4b1f-9c46-62da0e7f7b6b,it,creme spalmabili
94,nougat,cd4fe0be-a94e-463c-8093-95c27d903f6e,tl,nougat
95,crunchy,52ad7ebf-1f0c-4f81-894e-6141583f7ffa,cy,crunchy
96,gluten-free pasta,0b36e3f9-9608-40a6-8351-da13a3273f7c,no,gluten-free pasta
97,dry egg pasta,1b6c301d-57fa-4f43-9763-d63700f87751,no,dry egg pasta
98,egg liqueurs,b64e6b64-9e9b-4105-81d2-99c9265b1ff9,fr,egg liqueurs
99,ravioli makers,97f9efce-ead6-487a-929d-e0178167e439,sl,ravioli makers
100,organic cold cuts,1ec9139e-bb4c-4fac-856e-ee472f3ffbe6,ro,organic cold cuts
101,carp,9132e5c7-a522-445d-86e0-e8738b01c89d,ro,carp
102,dessert wine,a39dc0f8-dadf-45da-a29b-1b78a8b4c573,de,dessert wine
103,basket filters,4db7fcbf-469e-4b66-9901-a2d672b4eae3,no,basket filters
104,sponge prefilter,6f364a55-a6e3-494f-84ce-9875cf487a68,no,sponge prefilter
105,polyester prefilter,fa25eaec-cf23-493f-92b0-e58e24b084f9,no,polyester prefilter
106,sponge oil-removal filters,a7bf48ef-05db-4187-ae62-3b1b93f1ba9a,no,sponge oil-removal filters
107,dryer sponge filter,270be0e4-5763-41db-8a52-4ba685bc7eee,no,dryer sponge filter
108,veneto cuisine,06971100-8716-492d-baa7-344c90ad4d14,it,veneto cuisine
109,emiliana cuisine,615d353f-5c3f-4722-8e5a-f748f605d1f7,it,emiliana cuisine
110,frozen soups,7fab8690-88b5-4edf-8936-9cc6ad86df8a,cs,frozen soups
111,japanese cuisine,8fb871af-11b1-411f-b5b2-c90d34431c19,fi,japanese cuisine
112,caps,c1b2b22f-167a-4b87-a618-08b726e335ed,ca,caps
113,neck scarves,ca447c85-2bb6-4c7d-bfcb-841858e9aa6d,it,neck scarves
114,ceremonial service,33ec345d-d0eb-452f-80c3-3ce80b0d4682,it,ceremonial service
115,restaurants,58220aff-031e-4594-90ad-9a8541f16ed6,ca,restaurants
116,rustic,f47b5194-29ab-4726-8c15-bdcbcf801d39,ro,rustic
117,romantic,55e140b3-0ce7-4354-aa14-f6172b23153e,it,romantic
118,"seafood, deep-frozen",ec2e9044-e964-4831-a286-afb19f998212,nl,"seafood, deep-frozen"
119,squid,883545d7-cfc1-41d2-a25f-16d6e82cfd3d,fr,squid
120,stock fish,52c5b20b-8fc7-47ab-bb1c-a3c09b4fcb73,sv,stock fish
121,salt cod fillet,93dc0b23-9797-456d-9204-c48229633750,da,salt cod fillet
122,rush,a49069f6-3ac7-4ffa-9ce4-6f3338b22f1d,sq,rush
123,communion luncheons,f0c13471-6287-4270-92d9-cb92f30b1c8d,fr,communion luncheons
124,flag poles,537b7e79-6805-46da-9063-f9870f3f5d5d,da,flag poles
125,vacuum packaging for foodstuffs,e801c0da-a682-41b6-817c-c92c9f6ffdb5,da,vacuum packaging for foodstuffs
126,lead sinkers,d8afa553-b92c-4c5a-83a6-a5b0dbc3bb4c,af,lead sinkers
127,floats,fd7488a0-7c0e-4e58-97d3-0eeb78a0a173,sv,floats
128,sausage trays,0acc4478-41ae-4a8c-84e8-9e554106e137,tl,sausage trays
129,radar aerials for boats,7f32ffb7-7deb-455b-a7bd-ffe0262f8edf,ca,radar aerials for boats
130,graduated diving mask,c53c7772-cade-42b2-af04-86d38552afe2,id,graduated diving mask
131,"salt, industrial",7cfa601c-c259-49e8-bd49-0b60fc601b59,et,"salt, industrial"
132,open all day,18d595c7-c6ab-4e01-8ddf-cd4a6e9a5e92,it,open all day
133,clams,4859b76d-9597-4e92-b55e-9d6d19dc62ba,ca,clams
134,global life insurance,ce91a1f6-421c-4ded-8e1e-0da653c0c309,ca,global life insurance
135,diving courses,dc8caba9-452d-4f29-b065-a8d47fbc1be1,fr,diving courses
136,air sports - equipment,4a617a5d-df59-4db7-8dd8-8a73dd5fe546,fr,air sports - equipment
137,electric motors - dc,3557cfa9-8793-4464-bd1b-6f20b3d7a861,ca,electric motors - dc
138,fruit flours,efd89b4e-8466-40c4-99ca-b85d129f6e70,fr,fruit flours
139,fragolino,421ad7c3-cd40-4754-b5d4-6274501f89af,it,fragolino
140,pineapple,c12e7685-8e13-47cf-8035-438fead83cef,it,pineapple
141,raspberries,fd86ea70-3240-44b5-830e-b848de25b042,af,raspberries
142,currant,7a505ea4-cb72-4877-a883-0141e631c0a7,es,currant
143,fragole estive di montagna,cecef9ac-9a31-4078-b625-fad7c0b4b02b,it,fragole estive di montagna
144,essence,135622ee-4293-4888-a167-f586904baf07,fr,essence
145,natural flavourings,5c95896e-1b69-479e-b02c-b5e7606cb503,ro,natural flavourings
146,ready-made sauces,04f0678f-959a-4874-a720-0201fd9568be,es,ready-made sauces
147,agricultural assessors,bb007037-3a33-4114-bef8-399a9c2419c0,ca,agricultural assessors
148,vanilla,dd478b70-3adc-44b2-a280-1ee11140ea25,fi,vanilla
149,gourmet gifts for businesses,e2eeb7b8-a1b4-4d53-a086-54964d65bfd3,da,gourmet gifts for businesses
150,sale of wines in vats,d74ba518-573b-44ae-a39a-8b201a0a085b,af,sale of wines in vats
151,burgundy chardonnay,1980f69d-9a41-427c-b63c-88ef446163b3,cy,burgundy chardonnay
152,fruits alcohol,c49d3e05-3316-49fd-8858-ebafdcd9d288,ca,fruits alcohol
153,mozzarella for pizza,dcd3c123-55fe-4f8d-b4c7-8d25a818f76d,it,mozzarella for pizza
154,burrata cheese,a72137c0-401d-49d7-aa88-bd6e1c8fc933,it,burrata cheese
155,creme liqueurs,0cd8a806-c1b6-4db3-a609-e4db1c837dbd,fr,creme liqueurs
156,fruit nectars,0c5c7b98-6144-4a56-98a0-644cf60d08d6,ro,fruit nectars
157,non-alcoholic fruit syrups,9c977edb-7ebc-46d4-adb9-c7813a817792,ro,non-alcoholic fruit syrups
158,toppings,7f09847f-7e0b-4a4e-a2a9-b6df34d4ae06,no,toppings
159,shoes,6cb01eb2-5307-43bd-b763-782cacbf5438,sq,shoes
160,fruit and vegetable gauge,586507d5-e464-4fb8-95bf-95fccfba3c54,no,fruit and vegetable gauge
161,"shoes, men's",52fe37d5-3d76-4bf8-9b1c-57ea9f738514,sq,"shoes, men's"
162,cookies,feeb4d9c-9d81-499c-980e-e9d49f42721b,pl,cookies
163,travel agencies,7cd5eb84-90b5-4499-b17c-739b73c787ef,ca,travel agencies
164,restaurant equipment,f59b2845-45a6-45c2-85ad-e2e4fc442d17,ca,restaurant equipment
165,mineral waters,d8db6a3b-df58-494f-a3b4-f01f0ae1f32c,af,mineral waters
166,fennel,d25c8c5a-1669-4eba-b71f-0ecef8b9ca32,no,fennel
167,gala dinners,425da22c-fc4a-4232-8138-74327468af5d,id,gala dinners
168,vitamin supplements,62130ee6-0a3b-4ebc-9778-bd2967a3ce93,fr,vitamin supplements
169,turmeric,3de8a9c8-bf14-4687-b8cf-109a60a04f9c,ro,turmeric
170,red berry drink,13da4ebd-7c23-4734-90f7-6d199d1d28f8,da,red berry drink
171,electric citrus-fruit squeezers,8a199208-4968-4d28-876b-56e6123f8cf6,ca,electric citrus-fruit squeezers
172,drink vending machine,c6a815ba-ca50-4e5d-96ac-06bdca066d0f,nl,drink vending machine
173,spring garlic,ad47c329-cefb-445c-a6b4-39662c5d513b,sv,spring garlic
174,controlled fermentation,50f2e1fb-978c-4bb7-9dc0-13dbabab3f5f,it,controlled fermentation
175,scallion,92513146-840c-4a03-9d54-c015cb0ab9b7,it,scallion
176,bacon,2cd7b314-57c3-452c-8fbe-d558ef636518,es,bacon
177,produttore,774548e8-a52a-46d1-ac0a-4fda7056390e,it,produttore
178,cabernet,0493f105-26ac-49fc-a664-b47a86984039,da,cabernet
179,cabernet sauvignon,89e5a010-9b73-437a-8367-3e2b4bea8afb,da,cabernet sauvignon
180,chardonnay,a08e9578-cdc1-470d-a2e7-fa1068fc92dd,cy,chardonnay
181,refosco,b03da40f-f933-4290-97ec-fa3521e6c669,ro,refosco
182,merlot,d3f53754-e0ed-482e-8df6-9bc668bb7cf7,nl,merlot
183,aqua-vitae,cdf8e282-3bdd-4e44-b3d4-2e9485f27a08,ca,aqua-vitae
184,grape distillers,4710c09c-0176-4c3d-a8bf-35a812dc252c,no,grape distillers
185,drinks,5388dcc4-d28c-4313-bb8c-8759892b8ceb,lt,drinks
186,gravity fillers,ddbeb2a7-95b0-436c-9d4e-d4fab85c8ab2,no,gravity fillers
187,stalk separators,0d1c3c3e-11d4-44e0-8d65-ca880bc786d4,sl,stalk separators
188,wines - val d'aosta,dc0fd57a-5499-453a-9abf-1470664272c1,af,wines - val d'aosta
189,valle d'aosta grape variety,59699a7d-78c2-4d3a-a225-c3eccbe49eb9,af,valle d'aosta grape variety
190,liqueurs,383a18aa-9da5-467b-9ae5-05fd63107844,fr,liqueurs
191,distillates,49374810-6f76-4678-97b0-6a3595b9fea6,it,distillates
192,distillery,137a9258-1f06-40eb-a0d0-879399c7bdd1,da,distillery
193,tuscan grape variety,55f3b208-8e25-4b99-aa48-2001ab8abe24,nl,tuscan grape variety
194,chianti,801a42ce-ac5f-4931-8f44-55f002de656e,it,chianti
195,piedmontese grape varieties,9f284cd3-c64f-4b23-8cc6-be6c2fabce7c,af,piedmontese grape varieties
196,screw elevators,26ac8a6d-8247-4a4b-a7de-b4017aa575bd,it,screw elevators
197,grape hoppers,b4533ec8-fc5f-4b5e-bb21-f0effec4bcf0,no,grape hoppers
198,veneto wine,83c3b3a9-5f0f-402a-b633-dab3c7722534,nl,veneto wine
199,wines - piedmont,7dedb3d5-82d1-42d1-95a5-1e73d833fa48,pl,wines - piedmont
200,moscato d'asti,55d2e4cf-3028-47a9-85ad-5b4338b437dc,it,moscato d'asti
201,arneis,8cd6f30e-efe2-4ae0-a8fb-bab7fe715daa,cy,arneis
202,dolcetto d'alba,85e1b1e6-2da5-4c13-8371-e2205a9d1f23,it,dolcetto d'alba
203,barbaresco,afd69e78-c436-49c3-a39b-ea91975f9979,ca,barbaresco
204,pinot grigio,6da3a884-40c2-4a73-b785-8169224ab6dc,it,pinot grigio
205,aperol spritz,0e14ea11-8289-4af0-a7fe-3f6789b8ec4f,ro,aperol spritz
206,tuscany,453d5a46-ff4f-474d-b012-2876da19b31c,ca,tuscany
207,wines - friuli-venezia giulia,6a19e06e-bc12-49ab-9a03-7b0c61f73573,ro,wines - friuli-venezia giulia
208,aromatic grappa,f53c229f-3b1b-4535-9c9d-07830a903a28,it,aromatic grappa
209,sweet custards,bf3b3cda-3f60-49f0-a18d-503523070193,nl,sweet custards
210,lambrusco,da70caae-053a-43bf-bbdd-26e17e4cb075,ca,lambrusco
211,shiitake mushrooms,95c4531b-f17b-4220-bbfe-6aac5be32464,et,shiitake mushrooms
212,king trumpet mushrooms,f7574622-b5fa-4504-85fa-1b3b5f8c7a93,no,king trumpet mushrooms
213,varieties of king trumpet mushrooms,3cc4dbcb-84dd-4ae2-b1d8-39d03f045fa6,af,varieties of king trumpet mushrooms
214,king trumpet mushroom,692f9ccb-901e-42a1-8eaa-a7963d62ae41,et,king trumpet mushroom
215,ingrosso funghi porcini,574f5df2-9837-44b7-9c05-2fb5e172651e,it,ingrosso funghi porcini
216,funghi porcini,5ffdf150-2f38-4b69-86f2-9a5bcd0a5c3d,it,funghi porcini
217,funghi porcini congelati,af80407e-743e-41f5-85f2-8d9ddae36711,it,funghi porcini congelati
218,funghi porcini freschi,3dfcf65b-8564-4b91-8843-e2888dccd034,it,funghi porcini freschi
219,tea,23570ab2-2c27-4683-9a3b-2008249ae0d5,ro,tea
220,hors d'oeuvres,625daadb-cdbf-404c-824f-208cbe930fc2,fr,hors d'oeuvres
221,grilled courgettes,9baeae70-1b71-4933-96b7-81d9e6469e04,fr,grilled courgettes
222,grilled peppers,a47b2cc2-b73a-4f7d-b499-e388fd0199a1,sv,grilled peppers
223,grilled vegetables,2058b13d-d2ec-4dfb-97ad-2606a7dec417,no,grilled vegetables
224,vegetable sauces,132e6ab3-deb4-4eea-bb88-61a26ef56ce8,da,vegetable sauces
225,dried sweet peppers,a5ddc32f-cfe8-4a04-a04c-b0e1017a4b8d,af,dried sweet peppers
226,green olives,ca3baad6-2bfb-4830-a47a-3314d40ac5fc,no,green olives
227,pesto,e7dc9203-0904-4866-a46f-1298d1049499,pt,pesto
228,antipasti,826bdc53-ac87-4a86-a388-03eed6346208,it,antipasti
229,pate,36032078-c05d-40a0-8ed6-c7a4172af533,id,pate
230,olive oil sales,2ec1e045-c891-428c-b7a0-820f9ea45051,et,olive oil sales
231,olive oil storage,f5ddf5c6-d6e0-4c3a-876b-305a0d6dc81b,it,olive oil storage
232,moka certification,8278abf4-f93f-4c80-bc5c-153613c6855d,it,moka certification
233,olio in orcio,22dfb69c-e90a-4f3e-bf2d-795caa611fe2,it,olio in orcio
234,olio di sicilia,294a56c0-9cab-4a3d-ae9e-08a607228670,it,olio di sicilia
235,olio artigianale,f00dd237-da6a-480a-b1fa-7f44ee22452b,it,olio artigianale
236,tinned vegetables,bbb6bcbf-7356-4f5c-9978-08a51b17af45,no,tinned vegetables
237,apulia,46e44cfe-f3e2-4c85-b2ce-bed938255566,ro,apulia
238,oil - distribution,fb981f9b-c411-47f4-9fdf-56cc72df7dad,it,oil - distribution
239,oil machine spare parts,9052e944-354d-47b0-b683-7d2b8c25e206,fr,oil machine spare parts
240,patisserie and pasta products,a15506ba-3998-4ee2-ba94-9a376eefd11d,fr,patisserie and pasta products
241,pure olive oil,1a80b2c9-b9fc-4339-8b39-fd34278d81da,ro,pure olive oil
242,produttore olio di oliva,f8ff605f-6dc2-40d7-a076-493f64107c69,it,produttore olio di oliva
243,dieta - alimenti,97eb242a-c9e7-45a4-b690-dbd4c719272f,it,dieta - alimenti
244,palm oil,7e336d84-237b-4b98-a7c8-bad8cc47524f,fi,palm oil
245,freight quotes,27211137-010a-4773-8288-14ddc6e7d400,fr,freight quotes
246,preserved foodstuffs,347f6145-ef63-40ba-8868-530fefda01de,da,preserved foodstuffs
247,food-grade flour,c41bd6e7-2f87-44bf-97fa-87de44c50e32,da,food-grade flour
248,negro amaro,47cae8af-71fa-4a4f-aabb-dccc9a68f03e,it,negro amaro
249,brunello di montalcino,e29f9e2e-b67a-459e-b114-ac007be54237,it,brunello di montalcino
250,"vegetables, tinned",a07d06e4-b5d2-4cfe-a48c-1c8c513705d9,no,"vegetables, tinned"
251,grilled vegetables in oil,f936c51e-61cc-42da-9d6f-7c8e0d1ae512,no,grilled vegetables in oil
252,home-made beer,bcc977cd-ffa9-4ad0-87d2-cb5153cc6e2f,nl,home-made beer
253,hand-made pasta,048f9631-6b00-4541-b959-f559e467b063,pt,hand-made pasta
254,pesto ligure,d79d07e8-5606-4c42-8c84-ff531d7aea81,it,pesto ligure
255,organic jams,fd2fc815-f4c2-4c0d-911a-f195d076e4de,sl,organic jams
256,flavourings,6b28f177-6342-4439-95ce-47dfe5afcddd,da,flavourings
257,olio extravergine,c9fafce5-57d0-41b8-8d80-76d36fd97395,it,olio extravergine
258,olio sfuso,9b7831c8-11c0-4c29-8dfb-c2a70c5f076d,it,olio sfuso
259,olio italiano,7418eae1-4776-4739-bc5a-4c3e07134760,it,olio italiano
260,motor compressors,fe248022-3850-472e-924b-0754e6d59dd2,it,motor compressors
261,olive cake oils,b4729444-bfff-4e37-8745-d65375cd17ec,fi,olive cake oils
262,olio extra vergine di oliva biologico,55e02602-2317-41cf-b791-d7e833aff49e,it,olio extra vergine di oliva biologico
263,olio di oliva,922a45e1-be8d-45b1-add0-982f13622a4f,it,olio di oliva
264,potato-peelers,9c0aa069-e5fd-41d5-9a55-958ded74cf7b,it,potato-peelers
265,stainless steel items,f0554f08-56b9-44ac-9c6a-e3d420e01812,et,stainless steel items
266,potato-masher,049bbc7c-9e0a-4f6e-8c27-876fa33baf57,it,potato-masher
267,wooden products,7b47d1aa-50e2-485e-83c0-211deeccec69,nl,wooden products
268,cheese grater,cfb77e74-1953-4979-b790-396b0f35563d,nl,cheese grater
269,cantiere elettrico e idraulico,66d82648-839d-4a7a-a9d7-ba77a379c147,it,cantiere elettrico e idraulico
270,costruzioni e servizi generali,6f3118bc-e07d-4a5c-83e5-ffeda0df896a,it,costruzioni e servizi generali
271,bone saws,e01275a0-96a0-4c47-82e7-0b46239a2f29,cy,bone saws
272,trattorias,521a11f2-b5f8-45da-914e-e573fa4b7884,it,trattorias
273,retail stores,d7bb3cee-8735-4651-a789-0187867d15da,it,retail stores
274,organic pulses,691f042f-d6bd-440d-a758-e5d351ae7c44,ro,organic pulses
275,plc,ac236ea3-2f40-47b3-90e6-3089dda7f415,es,plc
276,"vegetables, freeze-dried",8a28b0ec-013a-4866-91fd-1fdb06417a2a,nl,"vegetables, freeze-dried"
277,cassava,89415b6e-4fe5-4997-9676-44294cac9fc2,it,cassava
278,chinese cuisine,3b6fc5f2-1d25-433b-9c00-3db5bf646b09,it,chinese cuisine
279,alimenti dietetici,d6083144-d3ab-4394-9368-f2db532ceeaa,it,alimenti dietetici
280,cibo salutare e naturale,06d26789-fab4-4a06-ad1b-95dda2d7662a,it,cibo salutare e naturale
281,barbera,36078c18-5ff6-4c65-a639-d0b8f7a16d22,id,barbera
282,ghemme,bf164aa4-46d4-4b33-85a1-7f469eba0e8e,da,ghemme
283,vino nobile di montepulciano,eb3b0f72-f076-4c5b-9caf-a7c0aa79d589,it,vino nobile di montepulciano
284,dairies,449d5074-dc58-4a1f-b330-cc27eae75c7e,lt,dairies
285,cerial flakes,4e2434e2-12f3-4c5f-88cb-dd3139e4a59f,ro,cerial flakes
286,diesel motor cultivators,de4229d3-aa1e-4030-80cf-5aa01d3875ee,it,diesel motor cultivators
287,chain saws,80ea74c3-2095-46d2-a00a-1135eead49f5,cy,chain saws
288,compactors,38b6fca6-2e64-43a6-8f92-3ecf98eac374,es,compactors
289,rotors,2bc45cd4-31ab-4bc8-8855-52b73eae170b,sk,rotors
290,women's sweaters,b6d45bf8-42d0-4a40-9aab-7819f7440855,af,women's sweaters
291,tanned cat skins for furs,4164663f-0986-438b-9c77-20ec515544a0,da,tanned cat skins for furs
292,raw furs,75e1bb3d-4d30-4ade-a6de-ae2a5a34e4aa,cy,raw furs
293,vellum,3a417805-d672-40cc-a8f1-28dbd6ddf683,fi,vellum
294,raw sheepskins,d6615eae-9b14-46c2-9a6f-3fec3fd551bf,pl,raw sheepskins
295,industrial tools,f05727cf-b270-4e6f-b548-b185ebfbbad5,et,industrial tools
296,"presses, hydraulic",d6bf6296-f958-4e70-9283-02b41915c896,fr,"presses, hydraulic"
297,agricultural bikes,a8d0b9f7-2350-4bfe-91ba-557e5614ae5d,ro,agricultural bikes
298,animal feed equipment,bfd4b6d4-020d-45d9-9a04-baf70bda24cd,ca,animal feed equipment
299,poultry equipment,7c2102d9-4b44-47af-8ee7-173bdd7b98bc,fr,poultry equipment
300,hopper feedboxes,eae980b1-5174-4a63-a310-af8b1b3e641e,da,hopper feedboxes
301,feeders for ducks,421a9fc3-2422-439a-b219-34b3a890b663,da,feeders for ducks
302,feeders for turkeys,a1a68678-44ce-4eb3-8797-6e235af754de,da,feeders for turkeys
