Unnamed: 0,products_id_x,products_and_services_x,EuroPages products_id,EuroPages products_and_services
89,e22ac22a-6bca-4a19-8609-73c4d14eb232,ground fine flour,,
90,35b0cf9a-c72c-4a68-b2e2-9f5e7a1db2ac,semi-finished baker products,103890c1b53450792cc502d3cae77550,semi-finished bakery products
91,f1353502-458a-4031-86ad-154397401fb6,latin wine,9cc7809fbc721cdc899e09e46b91ac07,latian wine
92,9dfd0eaa-ec78-48d5-83e4-23d1a7698139,favouring for confectioner,,
93,9882a3f7-4f0d-48bc-baee-ecaa213b3708,corn flour,e25e4573af18ec386fa77e5a6e4120bd,corn flours
94,8176ecef-9e06-41d0-b18c-868989dac5d5,chicken flour,,
95,6a9ef484-b937-4476-871b-cb91337169fd,sheep's milk ricotta,4b78a4a408a98bbad1dd777ffb28a636,sheep's milk ricotta
96,4792d9eb-9faf-4101-b40e-5d7590259dd1,"starch, enable",,
97,4e240a7c-8eee-424f-8b7f-d9d6e09ba6e1,wheat searches,a23e990f133f9762dd5e8b6caa49fba4,wheat starches
98,628a3556-7af8-4cc2-993e-f88cdf0f6d05,fructose in powder and syrupy form,3890cd2e5f4ab669d618627ea7087615,fructose in powder and syrup form
99,b7b8504f-1161-4eb7-b021-a658ae5213df,starch and maize detain,,
100,0f97e4ba-868e-4595-8cae-18a4a0bfc14a,past and rice,ad43879455ded2ea92fc0916a09a9ec9,pasta and rice
101,e692f7a1-015a-43e5-a65d-d01aebf103b8,coffee-roasting,cdfbe2a5edb97bc1787cda546b3ef103,coffee-roasting
102,7de66a5a-ea69-4229-89ca-d61db864e894,company watering,52543cc7ccaaa8b29e5625554710ba41,company catering
103,31c335ad-55e0-44c9-aba5-da1447ea8bdd,"rationalisation, mergers",1148e0aa08f01b190d216f40207123ee,"rationalisation, mergers"
104,bc36e147-2472-4040-b661-202a49aecdc0,road transport of goods in silks,78681d9978fdb6a3c3a88457fcb9439a,road transport of goods in silos
105,eeab5fdd-57cf-4256-88ab-f1cc12c24b95,transport of food,32b968155f2e779981cb4e7b57e7fc94,transport of food
106,5399d245-d701-403a-a6ab-c295fe813d85,silk transport with rheumatic unloading,,
107,e3ecaf6b-1cb4-49ef-9f5f-a2a8da2eeab9,flour transport with silks,,
108,89d06070-9dfa-4bdf-a6a5-5453bcb04431,ready-made dishes and cooking preparations,69370a16872624bf7aba44524dc59769,ready-made dishes and cooking preparations
109,5eaf2f5e-d13e-4ffe-93fa-7a4343bec697,frozen first courses,,
110,b3dfbcb0-ab06-4968-984a-66755023d7be,"leather, choked",bdf7ad23e89b55f904bca0304819309e,leather
111,14ddf93b-c561-4d0c-8bc7-bc38aa1aabc8,bottle bees,12dc34d62ffdfe4e5e3527b473daef84,bees
112,f2677102-de24-4fa0-bbbd-4442538d895d,high fomentation beer,cfa5b78bc9c42cb47644c9dffb6f53a6,high fermentation beer
113,ce0a849f-5972-44b0-a9c0-66812ee426d8,masters for dried fruit,052dbc4ede64f83328da4cf222760a6d,organic dried fruit
114,cc5e4c64-35fc-42c6-82e1-ef857fe06f9a,cavalluccis (biscuits with spaces and almonds),,
115,beda23e6-af06-4697-a9dc-dcdd2ef20b33,typical tuscans sweets,,
116,b3aeb1da-37ea-4921-9141-0be15a199014,urinary decoration using praises and chocolate,,
117,7c66c868-c3d6-420f-8d1b-b64648f67fe1,fresh and dry past,3b1f5cb6edab93b9960db37de8e95cc7,fresh and dry pasta
118,df596637-68ee-4bf4-8df4-ad14d82e0415,fresh packed eggs,c60208bd8e50b96e5d34d7423a1c3636,fresh packed eggs
119,6ee51757-19bd-48b0-939d-6ff9d808ce44,chocolate production,da492aa519b3f58e5777c6dab9d8622a,chocolate production
120,7fc8a65f-eb66-47ec-904d-9c58b84e8536,organic lumen free fresh past,,
121,6939515d-9d2f-4f5c-8fe7-279a72705c6c,organic fresh egg past,,
122,4612cf50-8ffd-45d0-817d-6157433abe4c,freshwater fish,d3891f1d8d55a386b4787deb2c73216b,freshwater fish
123,733902b8-3e52-46e6-b97a-fc7b4828f123,fish product processing equipment,f096f58997e8bf31a8df1521aea132b2,fish product processing equipment
124,cc6fd8e1-50db-41e0-9066-e64f3c20ff4e,fishing,,
125,dc994a24-f6ee-482a-b0dc-afa93a3e988f,rose wine,49c7351044a23f71eca18ef2bcebb412,rose wine
126,a0e82cab-455c-47db-b0a8-a8bf58e4afac,wine for fish,ecdf38f4625cda61f82b95858f0fa549,wine for fish
127,8e94dc41-1549-4d5c-8e17-54e914476d76,fish tank sponge filter,,
128,0650f179-5851-4919-aefd-5384d3f89679,coalescing sponge filter,,
129,151eb186-d4d7-42aa-83b1-738f7c805601,sooner sponge filter,,
130,2bdc34de-904f-4ca3-b5ca-74d7192d5e09,beating sponge filter,,
131,e62f1687-bf8f-498f-8841-3dd3a3758a96,fresh past first courses,b41d760e1b05cbbbcd03372d422e4fb7,fresh pasta first courses
132,81881f46-f74b-44d2-b18c-ba4851af54ed,co friendly lead core for fish ropes,,
133,429de136-0400-432c-9d32-15ea2aa23b52,float lines for fish nets ropes acquaculture,,
134,66a3651b-83dc-4c01-8ecc-ae6818728ae7,fishfarming float - dividing ropes - nets,,
135,a0612b32-ce0f-407f-9626-5a65e90a0783,seine fishing co friendly lead core weighing,,
136,a2f6b7fd-b23a-41c3-8e3d-1ced4e29601b,fishing rod accessories,2cdb329a70135e64917ae0afd4a92a02,fishing rod accessories
137,c636ab4b-0d91-4be2-8daf-370ff81494cc,restaurant with pool,,
138,71c6aca7-5aae-4117-8fd8-7c5bfee48bb6,fly fishing feels,71812a94fecf30a109f795f3301714d7,fly fishing reels
139,1045bd16-6a75-4179-90c1-c480b9aab229,fly fishing blow,,
140,3a43a9d6-7a18-4832-a347-015a7c7aebbb,fly fishing products,,
141,75a3063b-7077-4c31-9091-bccf8676a303,oris,,
142,ce01cd48-0107-44de-8441-dba7d300ba35,cable pulling systems,,
143,8f3f3f43-c394-4054-8c47-41936fbb5806,fish tapes in non,,
144,dafc6658-7d6a-4a65-abf7-c5653f9985fc,ingredient for watering industry,,
145,f07c7972-f0ed-4695-852f-94e0445bd828,fish-breeding tanks,432c98757f95146e27f748b5c170b040,fish-breeding tanks
146,f0eb8713-5b05-4a18-a63f-14c8e8f666ed,marketing of preserved seafood,ff20ce272a28d295fd609c18f5e43b5e,marketing of preserved seafood
147,99e5553c-9d6a-4b1a-be76-97b1c40d36b7,hunting and fishing clothes,4324076e27746a14088a4fbea0dca331,hunting and fishing clothes
148,05d3953e-cd4e-4e56-a349-9e59895a75d4,clothes,aa311eccee45c457c74cd2680db3b48e,clothes
149,3f3ea041-3d97-4a2d-b7f5-1a3681625ed5,open every day,,
150,31628d56-2462-4024-8024-55a02b4225fc,steakhouse,,
151,9ebc046d-ccba-45e1-9f92-f20990c42404,tinned seafood,41a3f27e32b9ba584356681e0ad08574,tinned seafood
152,f625df4a-6b80-402e-b84a-87e8b9cc7024,fishing boat engines,f6ee927899485810f8285fa323001b6c,fishing boat engines
153,11183006-f42c-479b-bc85-a28331acf63b,dry halted cod,24a8a60e4bf075efc18f55a919f83b96,dry salted cod
154,fe8094ac-b8d1-4598-9ba8-cded1a2ab6c7,stockfish ready to serve,dca5edd7fedfa91bdcfb09534f6ed14f,stockfish ready to serve
155,48c5ecf3-9634-49c9-8f73-88d8af95eca8,bamboo and attain items,515128d4d2783fc476a5680a22fb7fb1,bamboo
156,ada7d6c6-a96b-4fe9-bf90-8bc1715bfd65,fish traps,03d570a61db05d44c0cedb9f75dff7ad,fish traps
157,24cf47f1-e74c-4305-909b-2ebfee30673a,wholesale frozen food,cd0e732cdfecd6af25aeb828a6dc369c,wholesale frozen food
158,908ce912-7874-433c-96af-df7145476cb5,cooked meats export,080627162b94536f3e22953c7ab483de,cooked meats export
159,17a0c0bf-8694-448c-bf71-72116f7eb170,frog specialise,,
160,79801122-3ff0-4b45-bfab-6e9242b2f9f3,traceability,967e1d55004e03a273fcaec79b6b6312,traceability
161,61b1ef9b-83e6-4197-be45-b4572e7877c3,lunches for functions,22006ee8fd337c312b9f03facbc635bd,lunches for functions
162,0ff7abfc-cef9-449b-a4c4-45c322824389,international forwarding,a35e4866fcfcce52f0565f22112c85a3,international forwarding
163,6add1819-bac0-4b41-a849-de31cc6dfc57,ski clothes,9391c6df3181e39e53dd480604a591e9,ski clothes
164,f9b5f2e3-5668-48d1-8fd6-b1235429e783,children's clothing,2af7e5a030e5c38877a7856adb38e339,children's clothing
165,a00c5631-45c3-4a21-82a2-5173418c66b1,fishing hooks,21fd835430c24c8dbc4eef9374f9b52b,fishing hooks
166,f318d221-5dea-4383-b765-9a3699ab5cdd,sports fishing equipment,cb58a62fc4103d8bbdc144c1b279440b,sports fishing equipment
167,645e3c2f-f1bc-463f-a2f9-1917da6e7d64,ready-to-serve fresh fish dishes,3702adccc4a312f104e436e50c5227f7,ready-to-serve fresh fish dishes
168,e53c2fb5-6b9f-4e5c-a9a8-d481b3522172,feels of heat shrink plastic,6a1686827297743ce21b34ef06b983c6,reels of heat shrink plastic
169,c5ff8654-9a14-4154-b825-6f117d509623,logistics for the pisciculture sector,a9aeda26fe54dd59d378dde4e842172b,logistics for the pisciculture sector
170,7358c176-e887-4061-9b2f-e3b977f7183a,frozen selfish,,
171,94a133c8-f7d6-454c-aec4-dcdd19e2385a,caught sea fish,1b9f8a66a1e57146c01053975b0c7967,caught sea fish
172,7ac9bd66-bae1-4217-a7e6-29064fe9da31,textile twice,792318b0f3403244f0a7132133aded73,textile twine
173,49a7dcaf-8d9d-4a08-9fa0-8c8da2a09925,textile cords,ecee2210c00edfe0014cc7c7df05a338,textile cords
174,4d20dc12-9eec-4f04-a2e7-d841c82169ff,systems and equipment for washing fish and seafood,5fdf5d74ecffc02f7f0dc99b6a5c9699,systems and equipment for washing fish and seafood
175,a4d9f940-615a-4bc6-b999-568a4d0bba3f,marketing of fresh seafood,e5e403d42fc2a5de7b7f9bb2bbdc28ae,marketing of fresh seafood
176,624ab2f1-8d67-46db-a203-5ae774466c62,package fresh water trout,6381ecd417bec6ff737555959eec801d,packaged fresh water trout
177,b65666bb-8a4b-4c08-b455-e8c262114bcd,fishing ropes,960d22fb1157f5c35c7374a4f8d589f6,fishing ropes
178,cd651e07-ca14-4101-bf2f-40f7d4cdd2cd,artificial and synthesis fibre twice,,
179,34bf3b26-01b6-4ac6-9773-378559991a22,warehouses - cold storage,1a3ad4b3b2504116fd86f268bd4e292b,warehouses - cold storage
180,3c49f555-be6e-4625-a430-1ab736f46e86,"crustaceans, tinned",ec56e158b17d9ed3f67af5081d39398c,"crustaceans, tinned"
181,dd0ab7bc-e261-4fb6-9176-694fbc8e017c,wholesale of deep-frozen food,f152736ba0a41f813d5b44065327e8e7,wholesale of deep-frozen food
182,5b7b78e8-d560-4102-a6a3-6878afba8547,first courses with selfish,0ea05a8ab40a53204911663478581e97,first courses with shellfish
183,50ef580a-4ef1-4ad6-b9a6-0ba49c421293,passenger ships and boats,0579ad7c3da7d8e6e5b845ea96043798,passenger ships and boats
184,b337d07f-9e04-4254-92ac-72dd05173805,fishing boats,22a940044b4729dbea1c3312051d13f7,fishing boats
185,8abb7307-bab2-4ac6-a737-66a3b6fde5e7,boilers for fishing,,
186,a956a455-6423-4535-b764-7f35d97cb1e2,fish-based dishes,b2c3d3f4de4b8f2897854cb1c785f93f,fish-based dishes
187,9c10a09c-7d05-41c6-b1f6-67edaf459a07,sport fishing items,5f28749f9cab8fda5c1d8bab3ead02b3,sport fishing items
188,eee703b6-f264-4f73-bc7d-b40094f6d104,"anchovies, marines and mackerel",,
189,d092c28d-7967-489e-9a3e-fe2600b51aa1,frozen seafood,ae9cf5e3b2babe4d0f2752fe4f502f72,frozen seafood
190,9069c2c4-f153-4adb-a35b-8645a5358bea,freeze-dried fish,2f56c4cc8d41e1e71d24347cdf3a90d2,freeze-dried fish
191,e109894c-ca1c-46fc-bae0-9557db386d1b,underwater activity gear,e0372a8eedc65dfee6045d14a3fff374,underwater activity gear
192,969093e8-ea71-4b65-80fa-42de329e086d,term life insurance,ab2fb6266767397d713cdfdceeefd1fc,term life insurances
193,0470a79e-108a-4929-8d20-c6b92bac1776,underground railways - equipment and rolling stock,100bb42edbd626576d010684e1153d86,underground railways - equipment and rolling stock
194,a7ccd33d-bf2a-49f7-a40d-af7e038cf9fb,surface treatment - machinery and equipment,418f68dca252c774d854349aac203c6f,surface treatment - machinery and equipment
195,41ef836c-313d-497d-9a80-a6843bcdc231,package strawberries,10c80a7c29c2bc3df9b9f6a6071618a9,packaged strawberries
196,515b3ba4-08c8-4b2d-87b7-920b7ce49633,food essence,6a33e618aa9f429d4472b4ffa8a6a4dd,food essences
197,07db921d-22d1-462f-bbc4-ba5076821673,production of natural favouring,,
198,ad0ec852-0073-4423-b672-b1fc2dd6540f,natural favours for the food and canning industry,a4fe87d99e21b6c381065b326f27b3ed,natural flavours for the food and canning industry
199,d78cc7ee-ba99-4988-9718-d2db82f8048f,favouring for the confectioner industry,,
200,5e67e368-2441-4327-9d97-cb511c4a2877,natural favours for the beverage industry,fbf2ca7dce133868382f90c7d13e15ae,natural flavours for the beverage industry
201,ca5ea8dc-3ada-45a2-9736-a4a9e752a8fb,favours for baker products,,
202,9416415a-d4ce-4088-8313-8c4d3d5771a7,sterilised preserves,bd68027da71c760256bb0681beaedeec,sterilized preserves
203,2a81b547-e4c4-40e8-a417-e1fdf58db487,production of semi-finished fruit goods,,
204,2d154040-3180-491a-9615-2a4cef7e0cc6,production of semi-finished vegetable goods,,
205,7963aee6-08b3-4514-8ace-456bbafc7d2c,petit fours,,
206,6dd9f7b0-969f-4666-9702-a1ad7e54ad1a,special occasion sweets,,
207,d7a59d59-ff7b-48a6-a222-f56d79cbb94f,self-service bread displays,,
208,85dcc733-6749-425b-9300-8555511bdc3a,food for tortoise,bb9444f4f2b6bb57962fba45048e38e3,food for tortoises
209,5ce8f6c8-d53a-4f33-990a-8669a6bba7c5,cheese with fruit,f685115db5e99f181b37e6463f98f7ce,cheeses with fruit
210,edda7161-e08e-4dab-830e-6d6e6e9eaf64,food ingredient and semi-finished products,,
211,d9ed8619-3b59-45d8-a97a-729906c0049e,mobile telephone,7220299af3d8a4dd5f2a50a6dc1f9f79,mobile telephone services
212,cfb0d136-a7b7-4512-b1c7-14022c8ccf78,home delivery of pads,9d326a9efaa33ec06429f698a18980db,home delivery of pods
213,39ac6b4a-9689-4477-b9b7-d5f316664723,"household appliances, electrical - import-export",c00c390f186d2da4443cb00f9f4fea10,"household appliances, electrical - import-export"
214,66fef7a6-cf32-4d2a-b35f-6926c8f74d9c,men's clothing,1da3e1ef92ab70eeba50c33c00363278,men's clothing
215,a61fcdd1-0dfb-4623-9c88-3e2688e4662c,preprepared seafood,979099b2a9f6c96b5d462c1ad625b973,preprepared seafood
216,e5446afc-7483-4e05-b910-f9fed81deb92,canned fruits,5353d2bec97158eb675e96c773ca81e9,canned fruits
217,96591973-1025-4a50-a44b-036aa1140532,non-alcoholic drinks,9f74425b003d096dd2f43ef9441f8dfd,non-alcoholic drinks
218,24c07649-df5d-47b2-9a9a-cadf9f0eed8b,export fresh fruits,,
219,e938c1b1-8679-420b-a5c9-5c5445fc0cba,export foods,,
220,5890e15d-7c3d-4098-9963-04092716a266,sweet chestnut cream,,
221,ace18d20-ddc9-4fb5-92e5-f140e7b1e09c,processes dry fruits,79d5ce3daa7236998644e97dabb2bf6d,processed dry fruits
222,c6de201b-42a8-40d7-bc66-43ad92047ab3,wet halted cod,18e002fc0496e2905944460959224550,wet salted cod
223,69bc2d88-d25b-4ba2-876d-f05e94513dfd,spice pepper,,
224,e73cc2c6-0081-4d55-9e17-3edc3b0c4ba0,turned tops,,
225,dfcf769c-59e0-465f-bca3-8428d4a07dea,marketing of fresh meat,,
226,56c5f7b2-ff3c-4ebc-9f50-26eea539d6bc,marketing of frozen meat,,
227,4e65ae07-fd98-40fd-9921-08d42a267473,dressed pork products,acc5c639506214fed6fa7361ba435e2c,dressed pork products
228,e8a9eb63-7bc5-407f-8943-609426516e64,frozen off,,
229,7eeb79ba-6b68-4f3d-a39a-f4c9eb21a50b,food product agents and representatives,135a2b4ded9a2b953ecb53a179462343,food product agents and representatives
230,e1a33ad7-ffc4-491a-b9d4-5d785218e8c4,meal needs,,
231,f3fdce8d-a9f4-46a3-a308-3e3eb566404f,bothering workshop,,
232,c62452c8-6783-4ce1-af5e-e8468a3995fd,organic meats,83aec0664fb56bdc7964dea347ad8873,organic meats
233,6587368b-acdb-45ff-8040-496574beab49,package garlic,50b3734f6bf8129342f6db729dba3550,packaged garlic
234,23dfa6b8-8990-4d9f-85b6-c83605aee4dd,cotechino,909a4b1ad1fa97f76cd106cce2d7f946,cotechino
235,439ed696-1b62-4ae7-ac09-2b2c2e3c5a8c,italian but wines,533767e3021017b8aa90184ca7fff3d5,typical italian wines
236,3fad0d96-ab5b-49d0-ab6d-ef974b75d687,organic wines,71d9d970200bb9a4a8ca2c47a7971681,organic wines
