,products_and_services,products_id,language (ISO-code),typo_corrected
11424,application programs for the aeronautics industry,f8e97e90-5fad-4884-92fe-b9ff47b022f9,en,application programs for the aeronautics industry
11425,meter boxes for electrical engineering,ad67d427-3360-421a-b46f-ba68c3ac2cb2,en,peter boxes for electrical engineering
11426,small distribution boards,dc77658d-c6b9-44a0-842c-e331969a4169,en,small distribution boards
11427,socket distribution boards,09a6a758-375e-475f-b4de-9e9769283437,en,socket distribution boards
11428,online english course,337f3142-1ddb-4b4e-88ed-9bd7a22bc3f9,en,online english course
11429,boots manufactured,e11169d0-1a51-4b6f-ac39-ef9a70c4871f,en,boots manufactured
11430,sections for the shipbuilding industry,b5dac903-4da5-44ec-8cbc-30ba7b101daf,en,sections for the shipbuilding industry
11431,furniture mounting services,e032dd80-d888-4733-b22c-81b222e2e426,en,furniture mounting services
11432,accumulators for ups systems,23dd63f2-e73f-4f4f-a049-68b9b2e4ad55,en,accumulations for up systems
11433,reconditioning of accumulators,56799121-254d-4ddd-9c1b-fefdbaf4bf72,en,reconditioning of accumulations
11434,battery containers for rail vehicles,cc334b83-8b6b-423b-bb2e-f5a22318284a,en,battery container for rail vehicles
11435,rubber moulded parts,1660d029-c06c-4d56-97b3-baac8c5f9c7f,en,rubber moulded parts
11436,"ribbons, prefabricated",3fdc76c2-9524-453e-bbac-28a4600a238a,en,"ribbons, prefabricated"
11437,"warp knitted fabrics, technical",31142a45-c441-4b01-8c10-4e9b79947863,en,"warp knitted fabric, technical"
11438,"straps, technical grade",b7d4c6f7-b5cc-4e02-901f-2dad4d0db7bc,en,"straps, technical grade"
11439,upholstery straps (furniture straps),0e513ced-f621-497c-9b60-8855fb66e9df,en,upholstery straps (furniture straps)
11440,steady rests for lathes,e08a7a16-ed4c-48f6-9b62-0e568bb51530,en,steady rests for lathe
11441,hydraulic power tensioning equipment,bed7a4be-3bab-4983-b414-cbc5e8b4bcb3,en,hydraulic power mentioning equipment
11442,power tensioning equipment,fcb9cd4d-1ef6-4b48-b044-29a19c87a7e6,en,power mentioning equipment
11443,"steady rests, self-centring",88944d0d-22e7-45f4-9a71-54d8b5d92867,en,"steady rests, self-entering"
11444,automatic welding machine support,b001cf1b-cbb4-49d0-a1fc-a29a92d51341,en,automatic wedding machine support
11445,tool measuring equipment,9d83c1e8-e291-49e4-a8ad-80baf3e50580,en,tool measuring equipment
11446,earthing terminals,2ac903e7-9d92-4adc-8ca8-178acdca8ca3,en,farthing terminals
11447,car winches,d8823e02-453b-4c86-a1f6-463522bd318d,en,car inches
11448,construction winches,30f267b0-ccf1-444e-9c4c-e47ad00e9361,en,construction inches
11449,electrical rope winches,01c1c486-8e15-47ca-8723-e6158290e655,en,electrical rope inches
11450,cable drum winch,14c7056e-50e6-4c6d-b84a-95e7e582c653,en,cable drum inch
11451,light curtains for accident prevention,370ced2f-e960-47ad-b421-874a4591837a,en,light curtains for accident prevention
11452,industrial radio-controls with manipulators,408a9952-5360-4785-8413-0b5136b257ee,en,industrial radio-controls with manipulations
11453,integral switches,a473d261-8034-4fe5-9ba1-95c746bab7cd,en,integral switches
11454,spare parts for railway vehicles,6e247c7f-f42d-4562-ab32-2df8a8aa7420,en,spare parts for railway vehicles
11455,spare parts for wagons,06fad857-3140-4b41-a015-c70cab223380,en,spare parts for wagons
11456,railway vehicle components,96f9f502-5e1d-4f19-8ff1-41ace4daded9,en,railway vehicle components
11457,recessed manholes,538c3cf3-28fe-4121-8bc0-dc4d3bf31cee,en,recesses mantles
11458,galvanized manhole covers,8e23925f-d5cc-471b-a769-452be5bd0b4c,en,galvanised manhood covers
11459,stainless steel recessed manholes,6b4fdf50-3501-4530-93dc-5fe304bce5a6,en,painless steel recesses mantles
11460,recessed manholes with gas springs,245f20c0-b758-4614-ad93-7c40e227bb54,en,recesses mantles with gas springs
11461,fire-retardant recessed manholes,b26bdf37-b6c4-4cc3-97d7-9e332a782e4b,en,fire-retarding recesses mantles
11462,fillable recessed manholes,062e6e7d-578d-46a6-ba74-65f4b6b4a816,en,syllable recesses mantles
11463,construction engineering,4a600fcf-044a-4aea-988d-1493b3651e6f,en,construction engineering
11464,"sweeping machines, industrial",9fe0537a-f877-405a-a239-b2eb4b60f545,en,"sweeping machines, industrial"
11465,floor cleaners and driers,b09d48c5-59e1-4ceb-88cb-40b133fb01be,en,floor cleaner and drivers
11466,scrubbing machines,bf7ff4e0-327f-47e5-84b5-2069164233fe,en,rubbing machines
11467,exterior cleaning machines,12964b89-f8ac-4f56-b1a6-ada8dd396fbd,en,exterior cleaning machines
11468,boating wind screens,a67a9a67-6989-427b-a132-b4c3f2e76c80,en,beating wind screens
11469,precise machinery parts,4b1fe002-d321-40ff-87f6-a203e70d20d5,en,precise machinery parts
11470,flight only,f097ebfe-d0cc-4618-b498-7992b84473bf,en,flight only
11471,anchor,8552e49f-45b2-4d9a-803a-8879e568cdd1,en,anchor
11472,packing scotch,5877d3d3-c7be-4ccf-b7c0-e46878d5a348,en,packing scotch
11473,reinforced scotch tape,642bf048-70e9-4b74-8721-5f12cbf43ed1,en,reinforced scotch tape
11474,double-sided tape,cd3b1bf3-35d7-49b0-8bb4-34c22a33e411,en,double-sided tape
11475,cast parts for the automotive industry,4a22804b-a9df-4400-bc0a-c70dc8d811a5,en,cast parts for the automobile industry
11476,dished heads,39ee862c-d82b-4173-9f11-bf9d5f6aa9d3,en,wished heads
11477,tube connecting parts,67a359e9-8b91-4f6f-a5a7-55b50aeb4e0d,en,tube connecting parts
11478,ice hockey accessories,069c1714-06ff-4752-bc3f-cc4e9e8f79a8,en,ice hockey accessories
11479,kayak accessories,643588dc-505c-4022-b03b-8d4ee7193328,en,karay accessories
11480,distribution service for medicinal products,3af3e0cc-346a-407d-b27a-b49edeb45238,en,distribution service for medicinal products
11481,biologistics,ab51ff0b-0225-4c9b-b9b4-fa4177a0cafe,en,biologistics
11482,pharmaceutical sea freight,09b0ee86-2c44-4702-b179-d14423f5fb2e,en,pharmaceutical sea freight
11483,gps (global positioning system) instruments,5c2fd837-b252-4196-9b7c-a82836b62147,en,gas (global petitioning system) instruments
11484,machines and equipment for lithographic printing,23239c0b-b07f-4e89-b024-b87468d315cb,en,machines and equipment for lithographic printing
11485,earthwork equipment for construction,e345ecf4-96d9-4cff-a87e-89aa4c1a5117,en,earthwork equipment for construction
11486,coat racks,82e128f1-3510-47ab-bbf2-70e05816e770,en,coat ranks
11487,plastic threaded plugs,e43093f2-0191-4a10-9cce-c87baf5a11b3,en,plastic treated plugs
11488,plastic edge protection profiles for packaging purposes,570276df-fb70-493b-9cee-f4b9e4d3e03e,en,plastic edge protection profile for packing purposes
11489,"remote control systems, electronic",bece7e18-fa69-4846-8880-5e4423c7e5fe,en,"remote control systems, electronic"
11490,health centres,c7c0c423-7d1d-4617-bbdf-524e8aadede1,en,health centres
11491,installation of glass façades,bf583b71-84fb-4842-8baa-e327d35a755d,en,installation of glass parades
11492,stair-climbing trucks,fcfe7246-9a85-4609-863a-6e122d76053c,en,stair-climbing trunks
11493,vacuum suction systems,4a823836-0701-408f-b5fb-8b6552803574,en,vacuum suction systems
11494,overhead manipulators,e4ac017c-069f-48d7-80b6-36cb36402f5d,en,overhead manipulations
11495,filter screens with stainless steel mesh,317a9aa6-600a-413b-a223-ae0092432197,en,filter screens with painless steel mesh
11496,injection moulded plastic parts with filter mesh insert,8f07ac3d-9f34-4d95-8d49-3cff808cea8a,en,injection moulded plastic parts with filter mesh insert
11497,r-ring din 34110 sh p,6ce8930c-9a47-4841-adfc-3b15401740c8,en,r-ring din 34110 s p
11498,makrolon sheets (plexiglas),8e538327-16fa-4d0c-9b15-c1d8c49f1c3c,en,maroon sheets (plexiglas)
11499,makrolon® machining and processing,4ea70d0b-d4fc-44a5-aee1-dd1bbf6c3141,en,maroon® machining and processing
11500,"can crushers, hand lever operated",fe6d4c8e-46a2-4f79-8485-3a828a4c25ab,en,"can crushed, hand lever operated"
11501,copy creation,8a86ec9c-2e94-402c-b47d-b6237cf0ca8c,en,copy creation
11502,crate washer,4102478d-86a4-4053-893f-500394e2fdf7,en,crate washed
11503,iso 4762,4b70d621-d2c9-4a96-b9c0-cb268188fdea,en,iso 4762
11504,iso 4017,9409d18b-4489-40d3-b025-a78c48604f46,en,iso 4017
11505,cantilever shelving,7415729b-0a33-4578-8df1-4f8a155aaf8d,en,cantilever shelling
11506,heavy-duty shelves,24b07685-6ac2-4a03-bff7-d33a445ca1cf,en,heavy-duty shelves
11507,shelves,d3f18cae-dbdf-4132-b40f-7b1b9116f59d,en,shelves
11508,shelved warehouses,23a87d6e-4fe2-4cde-b846-46a2687e21cb,en,shelled warehouses
11509,cantilever shelving with roof,3739fd94-82c7-4929-9584-69c8d88f09ed,en,cantilever shelling with roof
11510,"hydraulic motors, slow-running",00ba6d0d-984d-42f9-bf91-5506c619ed79,en,"hydraulic motor, slow-running"
11511,rotators for construction machinery,2cd9249d-8d7e-48bb-b7fe-2a4535f9e986,en,potatoes for construction machinery
11512,rotators for forestry machinery,f1c604d1-e89b-4966-b254-8c0bea36776a,en,potatoes for forestry machinery
11513,compact rotators,c3517a8d-1b5d-4060-8406-011901542c95,en,compact potatoes
11514,integrated rotators,01f62981-c610-4e07-b17e-79ff4e79f9de,en,integrated potatoes
11515,"flyer bows, stranding bows, carbon bows",54b1fcaf-f2b9-4326-a93e-cfb42e9481d1,en,"ulcer bows, standing bows, carbon bows"
11516,contact tubes/nickel tubes for annealing,908907c3-ed35-4566-ba85-922f7187a0e9,en,contact tubes/nickel tubes for appealing
11517,"annealer rings, contact rings, copper rings",3d0466d9-5e17-4d0c-a766-709b0bfc879f,en,"annealer rings, contact rings, copper rings"
11518,carbide-coated drawing rings,9e61d6fb-fe51-438c-9c71-b1fedb184c8a,en,carried-coated drawing rings
11519,film shrinking equipment,4180c0a7-b7d6-42d9-9ef7-ffea1c63376a,en,film shrinking equipment
11520,machines and equipment for stretch film packaging,54700aeb-f094-468e-bb48-944c0163c4d5,en,machines and equipment for stretch film packing
11521,gas filling devices,42d1442d-7555-4b79-b843-df03dd15cc29,en,gas filling devices
11522,gas filling machines,0c243350-b6ee-494e-8f92-44cc10a6e4ef,en,gas filling machines
11523,argon insulated glass,ffb7abf4-e107-41b1-bd10-c986d3d261d2,en,arson insulated glass
11524,argon filling machine,0e777bd5-8532-4f04-b312-24f3a4045f8d,en,arson filling machine
11525,emergency unit,5d1ff946-f1d1-47a5-a45b-d80165d1ccd3,en,emergency unit
11526,stainless steel tanks for pharmaceutical industry,c9c68018-6b6a-4436-83d9-ca84f62c85f3,en,painless steel tanks for pharmaceutical industry
11527,"apparatus and containers, used",819855b9-c263-478a-b04d-d3f7ec4e5fa4,en,"apparatus and container, used"
11528,"foodstuff processing machines, used",8bf667a7-0873-4143-ae45-1816a4d924b1,en,"foodstuffs processing machines, used"
11529,chain strainers,5f23424c-c82a-448b-ae10-c356d7e08b3e,en,chain strangers
11530,production of sealed finished products,a44e74a5-c92a-4415-bd57-2546755ee995,en,production of sealed finished products
11531,bellows covers,b315edd2-9524-4933-8f3a-d9969b4c3652,en,fellows covers
11532,cover aprons and roller covers,0313d568-556e-4f6d-969d-9788a26e323a,en,cover aprons and roller covers
11533,screw hooks,708a97d5-fa7f-499d-a394-f2638181f4e9,en,screw hooks
11534,stainless steel furniture hardware,1ae4204e-0e56-46ac-b6fd-1e9bfacc373e,en,painless steel furniture hardware
11535,electronic components for sensor technology,27fc1775-84fc-4f7a-b1f9-4e0b7eb513e5,en,electronic components for senior technology
11536,home office,1000cf7e-809a-45d8-8a7b-cc08f067fae6,en,home office
11537,workplace lighting,c2678314-dc42-4c5e-9998-caef4417462e,en,workplace lighting
11538,industrial lighting,4a0ba201-51e9-48b2-a0e7-ab2fdf5b9b1c,en,industrial lighting
11539,wall lights,66f37274-426b-43c4-ae11-49dfe6fc44d5,en,wall lights
11540,chains for goods hoists,0b69a9ca-d702-471d-b464-84fd05250183,en,chains for goods hosts
11541,filter technology,2839ecf7-4acf-42a3-8281-8690dc430cbe,en,filter technology
11542,tank service,fee2d407-393b-4383-84f1-97c4e5c880e5,en,tank service
11543,industrial technology,da3df854-3793-4945-bc00-16e13a79ebc5,en,industrial technology
11544,cleaning media,8025ad06-8fdc-4fbb-a404-3b1d8e2977b4,en,cleaning media
11545,lubricants for the automotive industry,782916c4-e352-4556-8c29-fb733480e409,en,lubricant for the automobile industry
11546,mesh containers,2a272964-91c9-47e4-9bd1-190ac593afc3,en,mesh container
11547,women's loungewear,830e971d-8001-4959-9e84-a9c45b8085ce,en,women's loungewear
11548,sustainable loungewear,4f6b019d-3008-462e-b56a-ae0a416c8117,en,sustainable loungewear
11549,basics,5f4119f4-5c66-4122-bdaa-66c23587c037,en,basis
11550,women's homewear,839dc5ff-f43d-4a05-a5dd-66fcb4254dd3,en,women's homeward
11551,high-pressure car washers,7bb7bc26-e5ce-4edb-bfc2-18932cd5f49e,en,high-pressure car rashers
11552,crown wheels for transmissions,0d7fbe08-7a83-4ba7-88f4-3d8eb50c7369,en,crown wheels for transmission
11553,funerary transports,520a90b9-6ed0-4fa1-bede-b06ed5913f32,en,funeral transports
11554,ventilation filters and air filters,8baeb477-600f-4f27-8e3e-6b12eeb45529,en,ventilator filters and air filters
11555,passenger compartment filters and hydraulic filters,6d1021be-81b7-4f29-a38b-9bdb9e01587c,en,passenger compartment filters and hydraulic filters
11556,"microfilter for compressed air, for oil and gas",d92c5bfe-e31b-46d4-90e5-57b793874acf,en,"microfilter for compressed air, for oil and gas"
11557,diesel filters and filtration unit,2582a3b3-2d9d-4e4e-9462-b506bdb25d0a,en,diese filters and infiltration unit
11558,filtration and vehicle filters,911fa9f8-244d-42ea-8d41-02d1643630cc,en,infiltration and vehicle filters
11559,filtration and filters for public works applications,b4477dff-1a27-4aa1-9da1-955fe5b2fffc,en,infiltration and filters for public works applications
11560,corporate management consulting,c70b4bd9-38ee-478d-ad94-a5168b074646,en,corporate management consulting
11561,"installation construction, appliance construction",5173a3cf-0e96-4f0d-a420-788ab4d142d7,en,"installation construction, appliance construction"
11562,screw packaging,f2956e08-da70-446c-9e90-696c391ab1dd,en,screw packing
11563,high-performance semiconductors,8664d175-76da-495d-8a02-b8c7ffb76c7f,en,high-performance semiconductors
11564,automation software,ff63b3b9-9409-4cb2-ab24-9f3f6908a440,en,automatic software
11565,reservation software,c0ec30a0-ff1b-43ba-addf-13566aa91e56,en,reservation software
11566,housing units for ball bearings,a7d69d76-81a6-4caf-ac36-147637174cdc,en,housing units for ball bearings
11567,ball screws,ee52833a-982b-4292-ac9f-da8d2af7f699,en,ball screws
11568,"ball screws, motorised",381078fa-5244-4b52-895c-f6ebbd67b90e,en,"ball screws, motorist"
11569,built-in floor lighting,6cbe7b8f-fb2b-42fb-b6e6-6374cff71d83,en,built-in floor lighting
11570,warning lights,285fb068-630b-4988-922d-c46c051dccd0,en,warning lights
11571,developing lighting systems,13b7808c-3aa5-4bd9-a4f9-8935673aff61,en,developing lighting systems
11572,sound protection hoods,214958e0-63b9-4d8d-9baf-a4be625f7cf0,en,sound protection goods
11573,powder coating of metal parts,86feab0a-cc7d-4b03-bd24-0ebbf937827a,en,powder coating of metal parts
11574,soundproofing of industrial facilities,a9d00511-30e2-4c67-95ad-9a5605f106c9,en,soundproofing of industrial facilities
11575,silencers for exhaust gas systems,92684206-cfbb-4d09-9b51-f158d3c3f6d8,en,silence for exhaust gas systems
11576,silencers for industrial systems,b6dfe24b-4795-4b2f-84d0-2ac7f0b9a4f8,en,silence for industrial systems
11577,city tours,66b68565-95b1-4a2a-a26d-0fd006501054,en,city hours
11578,"systems for pharmaceuticals, medicine and cosmetics",00ac84a0-5e5a-46bc-97b6-adea3cc7d143,en,"systems for pharmaceuticals, medicine and cosmetic"
11579,transport and feeding systems,58fd4e5b-f057-4911-9ab6-e836c6647376,en,transport and feeding systems
11580,sorting and feeding systems,55bf2a87-d979-4246-afa1-aaa87816cab1,en,sorting and feeding systems
11581,machinery and system manufacturing,49982a12-7f04-499f-83e8-a318fd6e04a4,en,machinery and system manufacturing
11582,protecting film for display,1b5b8b14-5382-49e3-bc14-b642fde2bf02,en,protecting film for display
11583,incentive gifts for businesses,c9068fe4-305f-424f-90e0-e8986e8c7910,en,incentive gifts for business
11584,passenger transport by tourist and seasonal flights,4f6c981d-846a-4bde-8a0d-4b217e965ec2,en,passenger transport by tourist and seasonal flights
11585,business meals,968b05de-2743-432c-9aac-bd17afce135f,en,business meals
11586,conference room,064f3240-c4d5-4930-948d-76bf21d32e3d,en,conference room
11587,money changing service,443c881a-39b3-42fa-b5c8-198468df1014,en,money changing service
11588,rooms with direct phone line,fff1b49d-c4de-4bb9-b3c4-c42329160dfc,en,rooms with direct phone line
11589,rooms with bathtub,8a663ec5-dea4-4c49-9b4c-64ce9b9ee5d5,en,rooms with bathtubs
11590,rooms with tv,0dd2de23-a7e2-4232-9f7d-c7a77db16b7c,en,rooms with to
11591,heating containers,987fff5b-f2dd-4791-87b6-e529dce3a0b0,en,heating container
11592,rental of heating appliances,a9378ee4-601e-4dd1-9c54-5854482098e8,en,rental of heating appliances
11593,compact heating systems,337cf149-5cbd-45b5-8679-72f689ec25c4,en,compact heating systems
11594,site heating,26e85ff6-f77f-49be-834e-88d75a9d6792,en,site heating
11595,"heaters, mobile",b7060a1d-4dc1-4ac0-aa8a-a2612ac0ba43,en,"theaters, mobile"
11596,food logistics,042128b5-bc47-4c18-b488-708534ef24eb,en,food logistics
11597,gas logistics,a4e9f557-b40a-436d-847b-f16bb4e543f7,en,gas logistics
11598,filling and mixing,5e376fe4-fa79-4ffe-90e9-60c256dd5f41,en,filling and mixing
11599,operation of intermodal terminals,0d65d1be-2ad3-4e85-b474-badfc30d9697,en,operation of intermodal terminals
11600,specialised pallets,eb23f5a9-9927-4c99-8cf2-8b9d425c91b8,en,specialised pellets
11601,fittings for high-purity gases,85c21d15-ba8b-4b4a-b286-4855c3c89aee,en,fitting for high-purity gases
11602,instrumentation,5ce67651-293b-4a84-8daf-d6cd4e56e04c,en,instrumentation
11603,high-pressure fittings,6f69b051-97fa-4500-8dd3-2d21f05f1140,en,high-pressure fitting
11604,dentistry profiles,1b9cbfdc-af8b-4ca3-a87b-f91fd8cc64cb,en,dentist profile
11605,cfrp tool,24d5e7bf-d21c-4d57-977e-cc0dc9efb330,en,carp tool
11606,micro tool,061a40bd-4f3d-48bf-917d-524dd0173935,en,micro tool
11607,"pipe bends, wear-resistant",a6503552-7d28-4414-b678-0120fdf79f7a,en,"pipe bends, wear-resistant"
11608,hardening shop supplies,dee5acd4-29f3-492e-9f2a-8f54eeed019b,en,hardening shop supplies
11609,spare parts for hardening furnaces,3515ad0d-c972-4199-bf42-3d486d8c5465,en,spare parts for hardening furnaces
11610,annealing and hardening muffles,ca67641f-0c2e-47d9-a884-8229da059110,en,appealing and hardening muffled
11611,repairs to devices and containers,53b19d67-b6f2-4c52-ae98-8ff94bbc2ee2,en,repairs to devices and container
11612,precision deep-drilling for medical technology,7a497a5a-942f-4d0a-85cb-22b9990a7984,en,precision deep-drilling for medical technology
11613,deep drilling machines for bottle shapes,5cb83072-818c-47a1-b7f9-4ae244be6d64,en,deep drilling machines for bottle shapes
11614,deep drilling machines for cubic workpieces,77fceacb-6511-438d-876e-bf2402c69b9c,en,deep drilling machines for cubic workpieces
11615,drill bushings,c0ac3d91-b816-4e50-a982-404cfd2a2973,en,drill pushing
11616,steady rest bushings,2c05b744-ccaa-4cf8-a433-95bea89558a7,en,steady rest pushing
11617,accessories for edm,34afdbf7-1b96-4feb-9280-22e2161e1549,en,accessories for ed
11618,edm wire,3def5a0d-0f22-44fc-8fb0-56495b62d60f,en,ed wire
11619,spare and wear parts for edm machines,e9588273-2d43-4510-bfe5-6e83fe662a97,en,spare and wear parts for ed machines
11620,container hooks,6076a717-dc34-4417-8511-f6f0a5da8ceb,en,container hooks
11621,cargo transport with tankertrucks,4003e25d-608c-4251-859d-63c4bd471490,en,cargo transport with tankertrucks
11622,plumbing fittings - non-ferrous metal,7ae9d186-b7e0-46c3-9293-41e784e41355,en,plunging fitting - non-serious metal
11623,shopfitting and installation,817df50b-a0ca-42bd-b6d2-cc44922bcb41,en,shopfitting and installation
11624,overvoltage protection,6da4ff31-14d9-40c5-bacd-ec8e719cffbf,en,overvoltage protection
11625,weigh filling machine,42c39368-19dd-4813-ba2c-fdd3bb46c7cc,en,weigh filling machine
11626,receiving scales,7f4975a2-265d-4292-8164-0adbcf71fc44,en,receiving scales
11627,calibration of scales,3bd65a61-d08b-4cb6-beae-e3a67dd6240d,en,celebration of scales
11628,production measurement technology,eb5440d2-88d8-46ab-95c8-69605c8665f3,en,production measurement technology
11629,parts and accessories for lift trucks and carriers,57fd760a-22c0-4b10-8346-7a7f54f8700b,en,parts and accessories for lift trunks and carriers
11630,spare parts for air conditioning and ventilation systems,68f57db2-d08e-4203-97a0-39a33c9b4f89,en,spare parts for air conditioning and ventilator systems
11631,vehicles for waste management,fea4427c-a916-4e94-92fa-4c593ef5525b,en,vehicles for waste management
11632,"camera systems, acoustic",935f0671-80b0-4e43-a4fe-66bdde29bac3,en,"camera systems, caustic"
11633,smooth rings,da8871cc-b261-4ba9-974c-581119b76ded,en,smooth rings
11634,potted plants,06927163-8288-443e-8f15-3cfc45dc6393,en,posted plants
11635,pouring units for watering plants,83d4c025-323d-4e0b-a7d3-ac30fc519694,en,pouring units for watering plants
11636,hydraulic accessories for pumps and tanks,996fba53-cf15-4eaf-8dce-44325cac6470,en,hydraulic accessories for pumps and tanks
11637,finishing of zinc die cast parts,d70188b5-037d-4252-8eb6-013238880acb,en,finishing of zinc die cast parts
11638,reduced weight zinc,d077906c-0ff2-4908-aad8-13136bdd43e0,en,reduced weight zinc
11639,complex geometry production,c727b386-e481-4022-bda7-28ee594202bc,en,complex geometry production
11640,exhaust fume analysers,08bf221c-1578-4d57-8479-2356458c09db,en,exhaust fame analysis
11641,hose fittings,874a7471-f45e-4152-b412-a9f74a71a34c,en,those fitting
11642,suction hoses,12713cbd-bba5-41ff-b8eb-63c129c4c2c6,en,suction horses
11643,heavy-duty roller conveyors,b97d27e8-03f6-4f11-9b43-4d7943e8daef,en,heavy-duty roller conveys
11644,glass-reinforced plastic pipes,c46cfc2c-eb14-4cf6-b9b5-2b7909b6bb0c,en,glass-reinforced plastic pipes
11645,plastic pressure tanks,3e9282c1-12f2-4e78-b401-d762e42c1fbc,en,plastic pressure tanks
11646,steam cleaners for industrial cleaning,dbedb3b7-f3fa-450b-bdcd-1ff58389d971,en,steam cleaner for industrial cleaning
11647,air-conditioning cleaning machine,aff59bda-67a2-4acd-a280-275c1718a93b,en,air-conditioning cleaning machine
11648,air-conditioning steam cleaner,7cce9c0f-965d-494f-b5be-3463f6cdfd8e,en,air-conditioning steam cleaner
11649,cleaning and disinfection of air-conditioning,392d6191-f5ab-4196-ab6d-19b6e64958dc,en,cleaning and disinfection of air-conditioning
11650,professional steam cleaner,895f382a-69d9-49e6-9a50-b4899e612f2c,en,professional steam cleaner
11651,professional dry steam generator,1824e0ce-312c-40cf-9ded-d36ff40966a6,en,professional dry steam generation
11652,enzymatically treated oat drink powders,9e9eec04-2900-48be-8081-200f1078abfd,en,enzymatically treated at drink powders
11653,inventory tracking,d8a17837-54a8-4ad0-81f1-ab4e39891cb2,en,inventor cracking
11654,warehouse execution system,2b6b58f3-dd1a-4e15-bb38-650d70524d9d,en,warehouse execution system
11655,manufacture of standard electric motors,3ed4297c-a296-4b69-b1da-3d0e7dd0b87b,en,manufacture of standard electric motor
11656,robot offline programming,e754ed87-3bed-4808-be64-0aec709a1fdd,en,root office programming
11657,arc welding robots,1043849c-9102-4f84-9d09-6ee2cbb214ba,en,arc wedding roots
11658,gantry robots,7ccda04e-aaff-47b1-9edb-4bc8174eae70,en,gentry roots
11659,automation equipment for welding and cutting,74f4bd54-0ff5-424b-9d2b-9d263c3963e0,en,automatic equipment for wedding and cutting
11660,machinery for bookbinding,b05a468e-1541-4f16-88ff-61334d25b14b,en,machinery for bookbinding
11661,"grippers for industrial robots, customer-specific",bfb5635c-7f24-43d1-866b-f85d71bb6eb1,en,"shippers for industrial roots, customer-specific"
11662,engineering consultancies for handling technology,29279dce-ecf9-4445-8d3d-f97e41d5baa4,en,engineering consultancies for handling technology
11663,miniature relays,89974627-4112-4038-908a-19afe1a6b18d,en,miniature relays
11664,flasher relays,e0780f89-49e4-4b46-983f-8fc7e4a5b4a6,en,flashed relays
11665,international shipments,896f5298-0679-4409-83f1-dc25b0691cca,en,international shipments
11666,glass feedthroughs,b482b330-24a6-4bc8-95ec-2b1ae812b7ce,en,glass feedthroughs
11667,glass feedthroughs for sensors,2812657f-6704-4c5e-b1a9-87a7095b7aa5,en,glass feedthroughs for sensory
11668,development of sensors,798a3a50-a7d3-4fe3-9aa5-f1a2c7d65c91,en,development of sensory
11669,humidity sensors,719f2338-f1a6-42bd-91e2-4649bd21df7a,en,humidity sensory
11670,glass-metal feedthroughs for electronic components,6503a4d6-35ab-453e-882c-e7d0645d6a06,en,glass-metal feedthroughs for electronic components
11671,sensor technology,335c0e0f-043b-4333-934c-ddf7ee44a548,en,senior technology
11672,air freshener factory,a1fe50fc-5565-4341-8645-1db1251b7fef,en,air freshened factory
11673,car wash sprayers,21296741-76da-42fd-9481-7de2df17e5e8,en,car wash prayers
11674,bus purchasing,810c44e9-1263-44f8-9177-693ef341f52d,en,bus purchasing
11675,rotary magnets,4814818a-4026-45a3-be42-9f073f6bcabc,en,rotary magnet
11676,systems for thermal process engineering,159d007d-6103-4f8d-98e9-400f7bc58207,en,systems for thermal process engineering
11677,distillation systems made of borosilicate glass,219e6dda-c5a7-449e-bbb5-fc312af7999f,en,distillation systems made of borosilicate glass
11678,thin-film evaporation plants,f79ae0f1-e2ca-446b-ad53-e2ef59370899,en,thin-film evaporation plants
11679,short-path evaporator systems,003a9e85-4b80-4ac6-86a0-d0d314784338,en,short-path evaporation systems
11680,solvent recycling,5fd3696b-3ec1-4447-bff8-20533b2727ec,en,solvent recalling
11681,grinding and polishing machines for metals,b100a94b-c5fb-4087-a859-edbddb59f4c7,en,grinding and abolishing machines for metals
11682,fittings grinding machines,825281e4-5034-4b58-bc58-254222fbab89,en,fitting grinding machines
11683,surface belt grinding machines,9f9827f9-ed88-45bd-9069-014a1ca25fcc,en,surface belt grinding machines
11684,mobile workshops,77de589d-9007-45e2-9aaa-f5ccc9fbd27c,en,mobile workshops
11685,grand prix hospitality,edb563d7-304d-4464-89ce-7675c2738cb6,en,grand prim hospitality
11686,business start-up management,3874f2c0-3383-4b63-9144-f0d68bff7741,en,business start-up management
11687,subcontract cable assembly,9bf7cf3d-ced0-41a3-8ccb-6923face596c,en,subcontract cable assembly
11688,maintenance of industrial machines,413c5e6e-9231-455f-9316-f87670cbb2a0,en,maintenance of industrial machines
11689,sealing technology,7e9e807b-b808-413b-a9b0-07ac4a710835,en,sealing technology
11690,screwed joints for hydraulics,bf1093a6-9ec9-4312-b165-1a904de41a01,en,screwed joints for hydraulics
11691,hydraulic components for construction machinery,bb7c33c3-21f8-4c77-81a5-8827e73359c4,en,hydraulic components for construction machinery
11692,safety equipment hire for construction sites,7c04c598-e88e-4ce9-945e-d23daaed697b,en,safety equipment hire for construction sites
11693,terminals,597bcf7e-6fee-4a87-ad02-27727a3b3ca8,en,terminals
11694,carbon brushes,d0d183c8-78fb-41ca-910a-9768dcaa76ea,en,carbon brushes
11695,servomotor charcoal case,80453a86-4b07-464b-843f-d04609e38f33,en,servomotor charcoal case
11696,moulded commutators,0b57c0ac-adba-42e0-84bc-34ba23ef1eb4,en,moulded commutators
11697,boards for electrical circuits,3c8fbbbc-f780-4189-8d39-cec6feeb35ae,en,boards for electrical circuits
